Li-Ion,,Pd-Acid,,Ni-MH,,Ni-Fe,,Ni-Zn,,H2-Ni,,Li-Ion Si,,Na/S,,Li-Metal,,Li-S,,Trend,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2019.8652550529355,296.01253456339873,2019.177093358999,52.20159595185754,2008.041385948027,103.06636494442495,1975.1347449470645,54.656039863388116,1975.0721847930704,68.70302355300475,2005.1010587102983,73.97693949353152,2021.11645813282,299.68824538645015,1997.0307988450434,148.24519331361194,2025.0577478344562,389.9791090610022,2019.1145332050048,399.35894753445075,1960.0577478344562,36.63462745565107
2020.240615976901,275.275782927371,2010.1684311838305,58.913735550970216,2008.041385948027,115.1064987236893,1981.077959576516,24.205967276227113,1974.133782483157,61.34757822835826,2008.1039461020212,64.60466553574474,2020.303176130895,339.4896688029717,2005.0384985563041,169.29482619318173,2023.055822906641,434.46586472070845,2020.1780558229066,419.7575492256833,1964.186717998075,41.97517551285813
2020.9913378248316,245.84241343457978,2005.1010587102983,48.89332745339772,2016.1742059672763,97.69427124743692,2002.0356111645813,29.168772391771085,1974.1963426371512,53.32066142837374,2008.1039461020212,43.86887958256722,2020.0529355149183,348.85486108652196,2016.111645813282,147.8616562748461,2020.1154956689124,425.44332890192203,2019.1145332050048,299.69339569498584,1968.1280076997114,48.6539990536308
2015.1106833493745,258.5665725662378,1975.009624639076,39.2717463730562,2005.1010587102983,89.02710671761167,2014.1097208854667,24.120987185388515,1954.9278152069298,42.667892010905746,2001.097208854668,59.94041736812818,2021.11645813282,349.18657314564746,2020.1154956689124,148.18580381830998,2020.0529355149183,329.7913159360203,,,1972.194417709336,56.00139702119037
2012.2329162656401,241.85156810800197,1944.980750721848,29.98445250610797,2000.0336862367662,74.3244243725477,,,1985.0818094321462,68.67727201032642,1999.971126082772,64.29114050363586,2001.9730510105871,54.252545379046694,2016.0490856592878,238.49726872700472,,,,,1976.1982675649663,63.68340409642667
2011.106833493744,239.17887987227238,1935.033686236766,30.010043101644612,1990.1491819056785,40.90503796743076,,,2008.041385948027,96.37740173372259,1982.0789220404235,38.58466302496936,,,2020.0529355149183,238.1525199493982,,,,,1979.9518768046198,72.70384760237039
2010.1058710298364,233.83028445797834,1905.004812319538,29.418401408609327,,,,,,,1977.0115495668913,19.199706432413564,,,,,,,,,1983.5803657362849,83.39685380527334
2008.1039461020212,224.47088627153067,,,,,,,,,,,,,,,,,,,1987.459095283927,94.7581125406794
2015.1106833493745,224.78730835219102,,,,,,,,,,,,,,,,,,,1990.9624639076035,107.4581296010764
2020.1780558229066,220.09199738621845,,,,,,,,,,,,,,,,,,,1994.3407122232916,121.49626119789741
2017.1126082771896,214.4142650670667,,,,,,,,,,,,,,,,,,,1997.71896053898,134.86549647364814
2014.1097208854667,200.0407196268601,,,,,,,,,,,,,,,,,,,2000.9720885466795,151.57953524903354
2011.9826756496632,215.7652553748298,,,,,,,,,,,,,,,,,,,2003.599615014437,166.9573908536958
2011.106833493744,209.41299358464693,,,,,,,,,,,,,,,,,,,2006.4773820981713,183.00349899086143
2005.1010587102983,204.4117221022272,,,,,,,,,,,,,,,,,,,2009.3551491819057,200.05295160963232
2009.0423484119347,177.64572958948833,,,,,,,,,,,,,,,,,,,2011.5447545717036,217.77307096803264
2010.293551491819,174.2980290413023,,,,,,,,,,,,,,,,,,,2014.0471607314726,238.1679708750052
2011.106833493744,169.27921432043286,,,,,,,,,,,,,,,,,,,2016.361886429259,256.5566646601923
2011.0442733397497,165.93489366222343,,,,,,,,,,,,,,,,,,,2018.6140519730511,275.61441571359137
2000.0336862367662,153.92308657990526,,,,,,,,,,,,,,,,,,,2020.7410972088546,297.3480739455548
1995.0914340712225,109.11974789239713,,,,,,,,,,,,,,,,,,,2022.492781520693,316.7415607366229
1991.0250240615976,79.36432316898492,,,,,,,,,,,,,,,,,,,2024.119345524543,337.47316206411494
1990.02406159769,79.36689832325277,,,,,,,,,,,,,,,,,,,2026.121270452358,358.2037977087565
,,,,,,,,,,,,,,,,,,,,2027.6227141482195,376.26013564625106

